id,model,brand,weight,released,operatingSystem,platform,deviceCategory
4822,Nexus 7 FHD 2013 ME571K 32GB,Google,290 g,2013 Jul 26,Google Android 4.3 (Jelly Bean),Android,Tablet
4823,E410 Optimus L1 II,LG,109.8 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4824,Nexus 7 FHD LTE EU 2013 ME571KL 32GB,Google,299 g,2013 Sep 16,Google Android 4.3 (Jelly Bean),Android,Tablet
4825,Nexus 7 FHD LTE NA 2013 ME571KL 16GB,Google,299 g,2013 Sep 9,Google Android 4.3 (Jelly Bean),Android,Tablet
4826,GT-i9507 Galaxy S4 TDD LTE,Samsung,130 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4827,Ascend D2 D2-6070 TD-LTE,Huawei,170 g,2013 Dec 19,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4828,Z998 Unico,ZTE,135 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4829,SGH-i337M Galaxy S 4 LTE,Samsung,130 g,2013 May,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4830,Xperia Z Ultra LTE C6806,Sony,212 g,2013 Oct 14,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4831,Magview 4 / Daguan IV 9970,Coolpad,190 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4832,Vivo X3t,BBK,150 g,2013 Aug. 22,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4833,SCH-W789 Galaxy Folder,Samsung,208 g,2013 Aug.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4834,C7,Zopo,110 g,2013 Aug. 8,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4835,Magic1 M7007,Disney Mobile,127 g,2013 Aug.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4836,T7S,Hyundai,311 g,2013 Apr.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4837,Liquid S2 S520,Acer,231 g,2013 Dec 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4838,Mi-525 Pinnacle FHD,Spice,175 g,2013 May,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4839,Lumia 1020 LTE 64GB,Nokia,158 g,2013 Oct 2,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4840,SM-N900 Galaxy Note 3 64GB,Samsung,168 g,2013 Sep 24,Google Android 4.3 (Jelly Bean),Android,Smartphone
4841,iPhone 5 A1429 64GB,Apple,112 g,2012 Sep 12,Apple iOS 6,iOS / iPadOS,Smartphone
4842,iPhone 5 A1429 32GB,Apple,112 g,2012 Sep 12,Apple iOS 6,iOS / iPadOS,Smartphone
4843,iPhone 5 A1429 16GB,Apple,112 g,2012 Sep 12,Apple iOS 6,iOS / iPadOS,Smartphone
4844,SM-C105L Galaxy S4 Zoom LTE,Samsung,208 g,2013 Oct,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4845,iPhone 4S CDMA A1431 32GB,Apple,140 g,2012 Mar 9,Apple iOS 5.0.1,iOS / iPadOS,Smartphone
4846,iPhone 4 A1332 Rev. A 8GB,Apple,137 g,2011 Oct 4,Apple iOS 4.0,iOS / iPadOS,Smartphone
4847,iPhone 4 CDMA A1349 8GB,Apple,137 g,2011 Feb.,Apple iOS 4.2,iOS / iPadOS,Smartphone
4848,iPhone 4 A1332 8GB,Apple,137 g,2011 Oct,Apple iOS 4.0,iOS / iPadOS,Smartphone
4849,One 801s 32GB,HTC,143 g,2013 May 3,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4850,One 801s 64GB,HTC,143 g,2013 May 3,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4851,One Developer Edition,HTC,143 g,2013 Mar 13,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4852,One LTE NA 32GB,HTC,143 g,2013 Apr. 4,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4853,One LTE NA 64GB,HTC,143 g,2013 Apr. 4,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4854,One mini LTE 601n,HTC,122 g,2013 Aug. 16,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4855,Desire 600c Dual,HTC,127 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4856,GT-S7273T Galaxy S II TV,Samsung,120 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4857,G2 D802TA TD-LTE,LG,143 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4858,GT-S6313T Galaxy Young Duos TV,Samsung,112 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4859,GT-S6812B Galaxy Fame Duos,Samsung,121 g,2013 Mar,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4860,Moto X XT1058 32GB,Motorola,130 g,2013 Aug. 23,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4861,iPhone 3GS CU A1325 16GB,Apple,135 g,2009 Oct,Apple iPhone OS 3.0,iOS / iPadOS,Smartphone
4862,iPad 2 3G A1396 32GB,Apple,613 g,2011 Mar 26,Apple iOS 4.3,iOS / iPadOS,Tablet
4863,G2 D805 4G LTE,LG,143 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4864,Lumia 925 32GB,Nokia,139 g,2013 Jun,Microsoft Windows Phone 8 (Apollo),Windows (mobile-class),Smartphone
4865,U879,ZTE,163 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4866,iPad 2 WiFi A1395 16GB,Apple,601 g,2011 Mar 11,Apple iOS 4.3,iOS / iPadOS,Tablet
4867,Hero N3,TCL,125 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4868,iPad 2 3G A1396 16GB,Apple,613 g,2011 Mar 26,Apple iOS 4.3,iOS / iPadOS,Tablet
4869,iPhone 5s A1533 64GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
4870,iPhone 5c A1532 32GB,Apple,132 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
4871,VS890 Enact,LG,164 g,2013 Aug. 22,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4872,Desire 601 LTE,HTC,130 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4873,SM-V700 Galaxy Gear,Samsung,73.8 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Yes
4874,Lumia 1520.1 LTE-A,Nokia,209 g,2013 Nov.,Microsoft Windows Phone 8 GDR3,Windows (mobile-class),Smartphone
4875,SPH-L600 Galaxy Mega 6.3 TD-LTE,Samsung,199 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4876,One Touch Hero 8020D 16GB,Alcatel,125 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4877,iPad 2 WiFi A1395 32GB,Apple,601 g,2011 Mar 11,Apple iOS 4.3,iOS / iPadOS,Tablet
4878,iPad 2 CDMA A1397 32GB,Apple,607 g,2011 Aug. 24,Apple iOS 4.3.5,iOS / iPadOS,Tablet
4879,iPad 3 CDMA A1403 32GB,Apple,662 g,2012 Mar 16,Apple iOS 5.1.0,iOS / iPadOS,Tablet
4880,iPad 4 Wi-Fi A1458 16GB,Apple,652 g,2013 Feb. 6,Apple iOS 6.1.0,iOS / iPadOS,Tablet
4881,MeMO Pad HD 7 ME173X 8GB,Asus,302 g,2013 Jul,Google Android 4.2.1 (Jelly Bean),Android,Tablet
4882,SHV-E400K Galaxy Golden,Samsung,179 g,2013 Aug. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4883,SHV-E400S Galaxy Golden,Samsung,179 g,2013 Aug. 21,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4884,iPod touch 4th generation A1367 16GB,Apple,101 g,2012 Sep 12,Apple iOS 4.1,iOS / iPadOS,PDA
4885,iPod touch 5th generation A1509 16GB,Apple,88 g,2013 May 31,Apple iOS 6.1.3,iOS / iPadOS,PDA
4887,Ascend Y300-0100 U8833,Huawei,130 g,2013 Mar,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4888,Ascend Y300-0151,Huawei,130 g,2013 Mar,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4889,iPhone 5s CDMA A1533 64GB,Apple,112 g,2013 Sep 22,Apple iOS 7,iOS / iPadOS,Smartphone
4890,iPad 4 A1459 32GB,Apple,662 g,2012 Oct 24,Apple iOS 6,iOS / iPadOS,Tablet
4891,iPad 4 CDMA A1460 64GB,Apple,662 g,2012 Nov. 16,Apple iOS 6,iOS / iPadOS,Tablet
4892,iPad 4 CDMA A1460 16GB,Apple,662 g,2012 Nov. 16,Apple iOS 6,iOS / iPadOS,Tablet
4893,iPad 3 CDMA A1403 16GB,Apple,662 g,2012 Mar 16,Apple iOS 5.1.0,iOS / iPadOS,Tablet
4894,SM-T210L HomeBoy Galaxy Tab 3 7.0 WiFi,Samsung,302 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4895,SHV-E370K Galaxy S4 Mini LTE,Samsung,108.6 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4896,Swarovski SS129 32GB,Sugar,152 g,2013 Aug. 31,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4897,Fone 570Q,Goclever,212 g,2013 Aug.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4898,Xolo Q1000S,Lava,158 g,2013 Sep 2,Google Android 4.2 (Jelly Bean),Android,Smartphone
4899,Xolo T1000 Play,Lava,167 g,2013 Jul,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4900,Nexus 7 FHD LTE NA 2013 ME571KL 32GB,Google,299 g,2013 Sep 9,Google Android 4.3 (Jelly Bean),Android,Tablet
4901,Xperia Z1 f SO-02F,Sony,140 g,2013 Dec 19,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4902,SM-T2105 Galaxy Tab 3 Kids,Samsung,306 g,2013 Nov.,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4903,D605 Optimus L9 II,LG,120 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4905,DS1203 G2 L-01F,LG,145 g,2013 Oct 11,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4906,Padfone Infinity 2 A86 16GB,Asus,145 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4907,Desire 300 301e,HTC,125 g,2013 Oct 2,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4908,Nexus 7 FHD 2013 ME571K 16GB,Google,290 g,2013 Jul 26,Google Android 4.3 (Jelly Bean),Android,Tablet
4911,Hydro Elite C6750,Kyocera,128 g,2013 Aug. 29,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4912,F1,Faea,138 g,2013 May 23,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4913,V500 G Pad 8.3 WiFi,LG,338 g,2013 Oct 14,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4914,XtraTab 8.0 QC,Evolveo,425 g,2013 Aug.,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4915,MX3 M055 64GB,Meizu,143 g,2013 Nov. 6,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4917,MX3 M055 16GB,Meizu,143 g,2013 Sep 2,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4918,FonePad HD 7 ME372CG-1B015A 8GB,Asus,328 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4919,Desire 300,HTC,120 g,2013 Oct,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4920,MediaPad 10 Link WiFi S10-201w 16GB,Huawei,620 g,2013 Mar,Google Android 4.0.4 (Ice Cream Sandwich),Android,Tablet
4921,MediaPad 10 Link LTE-A S10-201L 16GB,Huawei,640 g,2013 Sep 3,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4922,GT-P3113 Galaxy Tab 2 7.0 WiFi 8GB,Samsung,344 g,2012 Apr.,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4923,GT-P3105 Galaxy Tab 2 7.0 3G 16GB,Samsung,344 g,2012 Apr.,Google Android 4.0.3 (Ice Cream Sandwich),Android,Smartphone
4924,GT-P3100 Galaxy Tab 2 7.0 3G 16GB,Samsung,344 g,2012 Apr.,Google Android 4.0.3 (Ice Cream Sandwich),Android,Smartphone
4925,Xperia Z1 LTE C6943,Sony,170 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4926,Liquid X1 LTE-A S53,Acer,160 g,2014 Aug. 21,Google Android 4.4.2 (KitKat),Android,Smartphone
4927,One Touch Idol Alpha 6032X,Alcatel,117.4 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4928,SM-N9005 Galaxy Note 3 LTE 32GB,Samsung,168 g,2013 Sep 26,Google Android 4.3 (Jelly Bean),Android,Smartphone
4929,SM-P601 Galaxy Note 10.1 2014 3G 32GB,Samsung,535 g,2013 Oct 11,Google Android 4.3 (Jelly Bean),Android,Tablet
4931,Transformer Pad Infinity 2 TF701T 64GB,Asus,585 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4932,SM-P605 Galaxy Note 10.1 2014 LTE-A 64GB,Samsung,547 g,2013 Oct 11,Google Android 4.3 (Jelly Bean),Android,Tablet
4933,SPH-L520 Galaxy S4 Mini TD-LTE,Samsung,107 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4934,Xperia Z1 LTE C6903,Sony,170 g,2013 Sep 17,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4935,Xperia Z1 LTE SOL23,Sony,171 g,2013 Oct 23,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4936,Mi-3 CDMA 64GB 2013063,Xiaomi,145 g,2014 Jan.,Google Android 4.3 (Jelly Bean),Android,Smartphone
4937,SM-N900A Galaxy Note 3 LTE 32GB,Samsung,168 g,2013 Oct 4,Google Android 4.3 (Jelly Bean),Android,Smartphone
4938,MeMO Pad 8 ME180A,Asus,350 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4939,MeMO Pad 10 ME102A WiFi 16GB,Asus,522 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4940,IdeaPad S5000 / IdeaTab S5000 3G 16GB,Lenovo,249 g,2013 Dec,Google Android 4.2 (Jelly Bean),Android,Smartphone
4941,IdeaPad S5000 / IdeaTab S5000 WiFi 16GB,Lenovo,246 g,2013 Dec,Google Android 4.2 (Jelly Bean),Android,Tablet
4942,IdeaPhone S960 / LePhone Vibe X,Lenovo,121 g,2013 Nov.,Google Android 4.2 (Jelly Bean),Android,Smartphone
4943,One Touch Snap Dual OT-7025D,Alcatel,130 g,2013 Apr.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4944,One Touch Snap LTE 7030Y,Alcatel,158 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4945,MediaPad 10 Link 3G S10-201u,Huawei,640 g,2013 May,Google Android 4.1.1 (Jelly Bean),Android,Tablet
4946,SM-P600 Galaxy Note 10.1 2014 WiFi 32GB,Samsung,540 g,2013 Oct 11,Google Android 4.3 (Jelly Bean),Android,Tablet
4947,SM-N900D Galaxy Note III SC-01F,Samsung,172 g,2013 Oct 17,Google Android 4.3 (Jelly Bean),Android,Smartphone
4948,SGH-i747M Galaxy S III LTE 32GB,Samsung,133 g,2012 Nov.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4949,One Touch Idol X Dual OT-6040E,Alcatel,130 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4950,One Touch Idol X OT-6040,Alcatel,130 g,2013 Jun 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4951,One Touch Idol X OT-6040A,Alcatel,130 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4952,SM-N900 Galaxy Note 3 32GB / SM-N900X,Samsung,168 g,2013 Sep 26,Google Android 4.3 (Jelly Bean),Android,Smartphone
4953,One Touch Snap LTE 7030R,Alcatel,158 g,2013 Jul,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4954,One Touch POP C3 OT-4033A,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4955,One Touch POP C3 Dual OT-4033E,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4956,One Touch POP C3 Dual OT-4033D,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4957,One Touch POP C3 OT-4033X,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4959,Desire 500 5088,HTC,123 g,2013 Sep,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4960,SM-P601 Galaxy Note 10.1 2014 3G 64GB,Samsung,535 g,2013 Oct 11,Google Android 4.3 (Jelly Bean),Android,Tablet
4961,SM-P600 Galaxy Note 10.1 2014 WiFi 64GB,Samsung,540 g,2013 Oct 11,Google Android 4.3 (Jelly Bean),Android,Tablet
4962,iPhone 5s A1533 32GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
4963,One Touch Idol Mini OT-6012X,Alcatel,96 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4964,iPhone 5c CDMA A1532 16GB,Apple,132 g,2013 Sep 22,Apple iOS 7,iOS / iPadOS,Smartphone
4965,One Touch Idol Mini Dual OT-6012D,Alcatel,96 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4966,One Touch Idol Mini OT-6012A,Alcatel,96 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4967,One Touch Idol Mini Dual OT-6012E,Alcatel,96 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4968,One Touch Idol Mini OT-6012W,Alcatel,96 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4970,iPhone 5s A1457 64GB,Apple,112 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
4971,iPhone 5c A1507 32GB,Apple,132 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
4972,iPhone 5s CDMA A1453 16GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
4973,iPhone 5s TD-LTE A1530 16GB,Apple,112 g,2013 Nov.,Apple iOS 7.0.2,iOS / iPadOS,Smartphone
4974,SM-C105A Galaxy S4 Zoom LTE,Samsung,208 g,2013 Nov. 8,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4975,SM-N9008 Galaxy Note 3 TD,Samsung,168 g,2013 Oct,Google Android 4.3 (Jelly Bean),Android,Smartphone
4976,iPhone 5c CDMA A1456 32GB,Apple,132 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
4977,SmartTab III 7 16GB,Vodafone,340 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4978,G2 D800 4G LTE,LG,143 g,2013 Sep 12,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4980,One Touch Evo 8HD,Alcatel,415 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4981,N9810 Supreme,ZTE,154 g,2013 Sep 12,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4982,N800 Awe,ZTE,124.9 g,2013 Sep 12,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
4983,iPhone 5c TD-LTE A1529 16GB,Apple,132 g,2013 Nov.,Apple iOS 7,iOS / iPadOS,Smartphone
4984,Ascend P1 LTE U9202L-2,Huawei,135 g,2012 Nov.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4985,Ascend P1 LTE U9202L-3,Huawei,135 g,2012 Dec,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4986,Ascend P1 TD-LTE U9202L-4,Huawei,135 g,2012 Dec,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
4987,8908,Coolpad,120 g,2013 Sep,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
4988,Arc 7HD 16GB,Kobo,341 g,2013 Oct 16,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4989,Arc 7HD 32GB,Kobo,341 g,2013 Oct 16,Google Android 4.2.2 (Jelly Bean),Android,Tablet
4990,Chefpad,Archos,700 g,2013 Jun,Google Android 4.1.2 (Jelly Bean),Android,Tablet
4991,GT-i9190 Galaxy S4 Mini 8GB,Samsung,107 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4992,GT-i9195 Galaxy S4 Mini LTE 16GB,Samsung,107 g,2013 Jul,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4993,iPhone 5s CDMA A1533 32GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
4994,SM-N900R4 Galaxy Note 3 LTE,Samsung,168 g,2013 Nov.,Google Android 4.3 (Jelly Bean),Android,Smartphone
4995,GT-i9205 Galaxy Mega 6.3 LTE 16GB,Samsung,199 g,2013 Jun,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
4996,Phone 2S / MI-2S CDMA 16GB 2013021,Xiaomi,145 g,2013 Apr.,Google Android 4.1.1 (Jelly Bean),Android,Smartphone
4997,iPhone 5s A1457 16GB,Apple,112 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
4998,D820 Nexus 5 NA TD-LTE 16GB,LG,130 g,2013 Nov. 8,Google Android 4.4 (KitKat),Android,Smartphone
4999,Desire 700 7088,HTC,145 g,2013 Oct,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
5000,Desire 700 Dual SIM 7060,HTC,145 g,2013 Oct,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
5001,SM-G3502 Galaxy Trend III Duos,Samsung,123.8 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5002,Elements 50 Oxygen,Archos,130 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5003,Gen11 101 XS2,Archos,636 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5004,8735 TD-LTE,Coolpad,157 g,2013 Nov. 2,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5005,Xenium W9588,Philips,330.3 g,2013 Nov.,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
5006,Xenium W8560,Philips,158 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5007,Arc 10HD 16GB,Kobo,627 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5008,One Touch Idol S OT-6034R,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5009,One Touch Idol S OT-6034Y,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5010,One Touch Idol S OT-6034M,Alcatel,110 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5011,Phone C9660,Yota,146 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5012,Lumia 2520 LTE-A,Nokia,615 g,2013 Dec,Microsoft Windows RT 8.1,Windows (mobile-class),Tablet
5013,iPhone 5s CDMA A1453 32GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
5014,SM-N9002 Galaxy Note3 Duos,Samsung,168 g,2013 Oct,Google Android 4.3 (Jelly Bean),Android,Smartphone
5015,Desire 601 CDMA,HTC,130 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5016,Moto X XT1053 GSM Developer Edition,Motorola,130 g,2013 Sep 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5017,Moto X XT1060 CDMA Developer Edition,Motorola,130 g,2013 Sep 18,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5018,Padfone Infinity 2 A86 32GB,Asus,145 g,2013 Oct,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5019,Tegra Note P1640,NVIDIA,320 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5020,iPhone 5c A1532 16GB,Apple,132 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
5022,D821 Nexus 5 LTE-A 32GB,LG,130 g,2013 Nov.,Google Android 4.4 (KitKat),Android,Smartphone
5023,SM-N9009 Galaxy Note3 CDMA,Samsung,168 g,2013 Oct,Google Android 4.3 (Jelly Bean),Android,Smartphone
5024,XtraPhone 5.3 QC,Evolveo,210 g,2013 Aug. 21,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
5025,Aqua HD,Intex,133 g,2013 Sep 7,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
5026,SHW-M190S Galaxy S hoppin,Samsung,129 g,2011 Jan. 23,Google Android 2.2.1 (Froyo),Android,Smartphone
5027,One SV C520e,HTC,122 g,2013 Jan.,Google Android 4.0.4 (Ice Cream Sandwich),Android,Smartphone
5028,Xperia Z1 LTE C6906,Sony,170 g,2014 Apr. 4,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5029,E985 Optimus G Pro 5.5,LG,174 g,2013 Apr.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
5030,SM-N9006 Galaxy Note3,Samsung,168 g,2013 Oct,Google Android 4.3 (Jelly Bean),Android,Smartphone
5031,SM-N900P Galaxy Note 3 LTE,Samsung,168 g,2013 Oct 4,Google Android 4.3 (Jelly Bean),Android,Smartphone
5034,iPhone 5s A1533 16GB,Apple,112 g,2013 Sep 21,Apple iOS 7,iOS / iPadOS,Smartphone
5035,E976 Optimus G 4G LTE,LG,144.3 g,2013 Feb.,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
5036,A113 Canvas Ego,Micromax,156 g,2013 Sep 3,Google Android 4.1.2 (Jelly Bean),Android,Smartphone
5038,Iris 504Q,Lava,140 g,2013 Jun,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
5039,F300S Optimus Vu 3,LG,161 g,2013 Sep 27,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5040,Surface Tablet 2 64GB,Microsoft,676 g,2013 Oct 22,Microsoft Windows RT 8.1,Windows (mobile-class),Tablet
5041,GSmart Aku A1,Gigabyte,147.7 g,2013 Jul 31,Google Android 4.2.1 (Jelly Bean),Android,Smartphone
5042,Slate 7 Extreme 16GB,Hewlett-Packard,319.8 g,2013 Nov.,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5043,N1 32GB,Oppo,213 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5044,619d,HTC,130 g,2013 Nov. 2,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5045,N1 16GB,Oppo,213 g,2013 Dec,Google Android 4.2.2 (Jelly Bean),Android,Smartphone
5046,Zest D740,Alcor,250 g,2013 May,Google Android 4.1 (Jelly Bean),Android,Tablet
5047,Zest Q813I,Alcor,330 g,2013 May,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5048,Zest Q833R 16GB,Alcor,582 g,2013 Sep,Google Android 4.2.2 (Jelly Bean),Android,Tablet
5049,iPhone 5c A1507 16GB,Apple,132 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
5050,iPhone 5s A1457 32GB,Apple,112 g,2013 Oct 26,Apple iOS 7,iOS / iPadOS,Smartphone
5051,Surface Tablet 2 32GB,Microsoft,676 g,2013 Oct 22,Microsoft Windows RT 8.1,Windows (mobile-class),Tablet
